index,Date,Open,High,Low,Close,Volume
0,2022-04-01,173.24622562086518,174.09240357996254,171.1656419304626,173.52496337890625,78751300
1,2022-04-04,173.78380185631977,177.68614565243314,173.65438247242136,177.63636779785156,76468400
2,2022-04-05,176.70060474697743,177.4970048768086,173.6344741206723,174.27159118652344,73401800
3,2022-04-06,171.5837642332182,172.8480489448071,169.36381146111216,171.05615234375,89058800
4,2022-04-07,170.38916389543385,172.57925289147934,169.0850660692005,171.36474609375,77594700
5,2022-04-08,171.0063659118593,171.0063659118593,168.43798344411078,169.323974609375,76575500
6,2022-04-11,167.95020074504785,168.2687516874166,164.75465068558222,165.00352478027344,72246700
7,2022-04-12,167.26331707222218,169.10497638286253,165.88952711623114,166.90493774414062,79265200
8,2022-04-13,166.63612987797242,170.26968540223385,166.01892701490965,169.632568359375,70618900
9,2022-04-14,169.85159089618367,170.49867267018354,164.29671916173487,164.54559326171875,75329400
10,2022-04-18,163.18176913951493,165.84970740791573,162.83335451126285,164.32659912109375,69023900
11,2022-04-19,164.27683163729623,167.064224789693,163.17182994863464,166.64610290527344,67723800
12,2022-04-20,167.99996063613114,168.11943052885604,165.3519518568213,166.4768524169922,67929800
13,2022-04-21,168.14930859043832,170.75750442202852,165.162819247981,165.67051696777344,87227800
14,2022-04-22,165.71033713795472,167.11397551504817,160.77266831895557,161.0613555908203,84882400
15,2022-04-25,160.39437052186543,162.43514112153832,157.7463617180189,162.14645385742188,96046400
16,2022-04-26,161.51929399880987,161.608885030912,156.01420001639806,156.09384155273438,95623200
17,2022-04-27,155.20785213307005,159.07036795436642,154.68024024008278,155.86488342285156,88063200
18,2022-04-28,158.53280180423712,163.7790720889061,158.21423566479427,162.9030303955078,130216800
19,2022-04-29,161.11113481592176,165.45149975676915,156.54180995475113,156.94000244140625,131747600
20,2022-05-02,156.00425614028538,157.51739981497266,152.5797459048145,157.24862670898438,123055300
21,2022-05-03,157.43775246731067,159.98623605764243,155.6160073892082,158.7617645263672,88966500
22,2022-05-04,158.95090044842777,165.7302281643631,158.5427432991399,165.27230834960938,108256500
23,2022-05-05,163.11209667315114,163.3410565995918,154.25216930268925,156.06398010253906,130525300
24,2022-05-06,155.5355698326698,158.95514715090755,153.71113301701791,156.8017120361328,116124600
25,2022-05-09,154.45886290542302,155.35613520452472,151.02933644989548,151.59759521484375,131577900
26,2022-05-10,155.04706894771004,156.26336015261032,152.46493355950471,154.04013061523438,115366700
27,2022-05-11,153.03321791508907,154.97728506762394,145.366600199237,146.05450439453125,142689800
28,2022-05-12,142.3358481970326,145.75541044545304,138.37791954127903,142.12648010253906,182602000
29,2022-05-13,144.15031741630995,147.6496537097199,142.67482215866443,146.66265869140625,113990900
30,2022-05-16,145.10740669554997,147.0714174295219,143.74156232154976,145.09742736816406,86643800
31,2022-05-17,148.40732927046932,149.31456568432304,146.23395056543447,148.7861785888672,78336300
32,2022-05-18,146.403446691406,146.91189034473368,139.47456892929358,140.39178466796875,109742900
33,2022-05-19,139.45463237022196,141.2292182060907,136.18460800666242,136.9323272705078,136095600
34,2022-05-20,138.66702358217904,140.272128179785,132.20673352522766,137.1715850830078,137426100
35,2022-05-23,137.37097544648412,142.8243424542106,137.23140179342516,142.6748046875,117726300
36,2022-05-24,140.38179501353008,141.5382711099196,136.91238193674863,139.93316650390625,104132700
37,2022-05-25,138.0090410608773,141.35882424900942,137.91931839275315,140.0926971435547,92482700
38,2022-05-26,136.9721910271665,143.90105276282335,136.72295128694586,143.34275817871094,90601500
39,2022-05-27,144.94787581550264,149.22482345081568,144.81826627090933,149.18495178222656,90978500
40,2022-05-31,148.61670168471505,150.20186301709586,146.3934719186632,148.38739013671875,103718400
41,2022-06-01,149.44415043321345,151.27856658431048,147.2309002004097,148.25778198242188,74286600
42,2022-06-02,147.38045668289442,150.80999821387627,146.41340519727262,150.75018310546875,72348100
43,2022-06-03,146.45327879488477,147.52003228349827,144.02071148406793,144.9379119873047,88570300
44,2022-06-06,146.58289540841923,148.1182209429532,144.45936765524692,145.6956024169922,71598400
45,2022-06-07,143.9110400635914,148.5468934036497,143.66180030955843,148.25778198242188,67808200
46,2022-06-08,148.12818055667853,149.4142510644879,147.0115912654091,147.51007080078125,53950200
47,2022-06-09,146.63273839368173,147.50008789622572,142.09657168935152,142.20623779296875,69473000
48,2022-06-10,139.8534123140927,140.33194839177074,136.64320300207683,136.71299743652344,91437900
49,2022-06-13,132.46593780652177,134.7888541080491,131.0402937347601,131.4789581298828,122207100
